customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00061,Male,0,No,No,32,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,No,No,Two year,No,Bank transfer (automatic),45.9,7751.34,No
CUST00062,Male,0,No,Yes,41,No,Yes,No,No,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),60.49,5192.45,No
CUST00063,Male,0,Yes,Yes,22,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,No,Mailed check,83.04,6497.1,Yes
CUST00064,Female,1,Yes,Yes,51,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,107.66,6163.5,No
CUST00065,Female,1,No,Yes,45,No,No phone service,DSL,Yes,Yes,No,No,No internet service,No internet service,Two year,No,Electronic check,103.79,4625.37,No
CUST00066,Male,0,Yes,Yes,10,No,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,Yes,One year,Yes,Mailed check,32.01,1859.42,No
CUST00067,Male,0,No,Yes,59,No,No,DSL,No internet service,No internet service,No,Yes,No,No internet service,One year,Yes,Electronic check,32.52,366.38,Yes
CUST00068,Male,1,No,No,33,No,No phone service,No,No,No,Yes,Yes,No,No internet service,One year,No,Electronic check,84.15,6593.1,No
CUST00069,Male,0,No,No,40,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No,No internet service,One year,Yes,Bank transfer (automatic),27.12,3563.19,No
CUST00070,Female,0,No,Yes,59,No,Yes,Fiber optic,No,Yes,No internet service,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),113.93,7960.97,No
CUST00071,Male,1,No,Yes,70,Yes,Yes,No,No internet service,No internet service,No internet service,No,Yes,No,Month-to-month,No,Electronic check,99.12,7756.6,No
CUST00072,Male,0,Yes,Yes,64,Yes,No phone service,No,No internet service,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,32.07,6471.64,Yes
CUST00073,Male,0,No,No,8,No,Yes,DSL,No,No,Yes,No,No,No internet service,Two year,Yes,Mailed check,19.97,7840.72,No
CUST00074,Male,0,Yes,No,47,No,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,20.07,4396.75,Yes
CUST00075,Female,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No internet service,No,Two year,No,Electronic check,54.8,3233.16,No
CUST00076,Female,0,Yes,Yes,53,Yes,No phone service,No,Yes,No internet service,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),94.55,7877.15,No
CUST00077,Male,1,No,No,5,Yes,No,DSL,Yes,Yes,No internet service,Yes,Yes,No,Two year,No,Mailed check,66.62,2042.66,Yes
CUST00078,Female,0,No,Yes,6,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,18.84,5924.7,Yes
CUST00079,Male,0,Yes,No,42,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,107.49,3344.61,No
CUST00080,Female,0,No,No,63,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No,No,Two year,Yes,Credit card (automatic),80.39,1548.0,No
CUST00081,Female,0,No,No,67,Yes,No phone service,DSL,Yes,Yes,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),78.09,1992.69,Yes
CUST00082,Male,0,No,Yes,1,No,No phone service,No,No,Yes,Yes,No internet service,No internet service,No,One year,Yes,Credit card (automatic),35.71,6756.95,No
CUST00083,Female,0,Yes,Yes,44,Yes,No phone service,No,No,No internet service,No internet service,Yes,No internet service,Yes,One year,No,Credit card (automatic),52.87,1725.98,No
CUST00084,Female,0,No,Yes,39,No,No phone service,DSL,Yes,Yes,No internet service,No,No,No internet service,One year,Yes,Mailed check,112.29,3817.12,No
CUST00085,Male,0,No,Yes,71,Yes,No,DSL,Yes,No,No internet service,Yes,No internet service,No,Two year,No,Mailed check,80.62,3261.8,No
CUST00086,Male,0,No,No,64,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No,No internet service,One year,No,Bank transfer (automatic),49.63,1092.29,No
CUST00087,Female,1,No,Yes,69,No,Yes,DSL,Yes,Yes,No,Yes,No internet service,Yes,One year,Yes,Electronic check,86.83,5300.18,No
CUST00088,Male,0,Yes,No,65,No,Yes,No,Yes,No internet service,No,No,Yes,No internet service,Two year,No,Electronic check,66.74,401.12,Yes
CUST00089,Male,0,No,Yes,20,No,Yes,No,No internet service,No internet service,No,Yes,No internet service,No internet service,Two year,No,Mailed check,82.03,1030.11,No
CUST00090,Male,0,No,No,32,No,No phone service,No,No internet service,Yes,No internet service,No,No internet service,No,One year,No,Credit card (automatic),104.15,5965.07,No
CUST00091,Female,0,Yes,No,31,No,Yes,No,No internet service,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),63.19,2354.19,No
CUST00092,Female,1,Yes,Yes,53,No,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,Two year,No,Bank transfer (automatic),97.65,1863.28,No
CUST00093,Male,0,No,Yes,67,Yes,No,No,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,19.2,1412.53,No
CUST00094,Male,1,Yes,Yes,9,No,No phone service,DSL,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Mailed check,71.38,5550.14,No
CUST00095,Female,0,Yes,Yes,0,Yes,Yes,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,35.52,6343.85,No
CUST00096,Female,0,Yes,No,36,No,Yes,No,No,No,No internet service,No,No,No,Month-to-month,No,Bank transfer (automatic),44.79,5426.93,Yes
CUST00097,Female,0,No,No,50,Yes,Yes,DSL,No,No,No,No internet service,No internet service,No,One year,Yes,Electronic check,30.71,4766.11,No
CUST00098,Female,0,No,Yes,7,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),87.29,5006.27,Yes
CUST00099,Female,0,Yes,Yes,72,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,No,Two year,No,Credit card (automatic),115.02,1372.14,No
CUST00100,Male,0,Yes,Yes,64,No,Yes,Fiber optic,Yes,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,105.71,5701.79,No
CUST00101,Male,1,Yes,No,28,No,Yes,No,No internet service,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),91.88,8629.92,No
CUST00102,Male,1,Yes,No,46,No,No phone service,No,Yes,Yes,No internet service,Yes,Yes,No,One year,Yes,Mailed check,79.23,7942.15,Yes
CUST00103,Female,1,No,Yes,40,Yes,No phone service,DSL,No,No internet service,No,No,No internet service,Yes,Two year,Yes,Credit card (automatic),70.62,5900.7,Yes
CUST00104,Male,0,Yes,No,48,No,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,No internet service,One year,Yes,Electronic check,107.13,7780.22,No
CUST00105,Female,0,Yes,Yes,23,No,No,No,No,No,No,Yes,Yes,No internet service,One year,No,Mailed check,30.21,744.12,No
CUST00106,Female,0,No,Yes,59,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,Yes,Two year,No,Credit card (automatic),98.74,7831.74,No
CUST00107,Female,0,No,No,32,Yes,No,DSL,Yes,No internet service,No,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),80.65,6435.02,No
CUST00108,Male,1,No,No,68,No,Yes,Fiber optic,Yes,Yes,No,No,No internet service,No,One year,Yes,Electronic check,22.13,6068.11,No
CUST00109,Female,0,Yes,No,51,No,No,Fiber optic,Yes,Yes,No,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),70.51,209.09,Yes
CUST00110,Female,1,Yes,No,51,Yes,No phone service,No,Yes,No internet service,No internet service,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),60.77,7368.17,No
CUST00111,Female,0,Yes,No,58,No,Yes,DSL,Yes,No internet service,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),53.3,5847.31,No
CUST00112,Female,0,No,No,39,No,Yes,DSL,No internet service,No internet service,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,93.09,4552.01,No
CUST00113,Male,0,No,No,25,No,Yes,Fiber optic,Yes,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,76.35,1790.73,No
CUST00114,Male,0,Yes,No,33,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),71.96,2615.89,No
CUST00115,Male,0,No,No,18,No,Yes,DSL,No internet service,No,Yes,No,No internet service,No internet service,Two year,No,Mailed check,21.0,7573.83,Yes
CUST00116,Male,0,Yes,No,28,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,72.74,1473.26,No
CUST00117,Male,0,Yes,No,22,No,Yes,No,No internet service,Yes,Yes,Yes,No internet service,Yes,One year,Yes,Electronic check,97.68,5869.15,No
CUST00118,Female,0,No,Yes,35,No,No phone service,No,No internet service,Yes,No,No,No internet service,Yes,Two year,Yes,Credit card (automatic),84.46,8451.11,No
CUST00119,Female,0,No,No,7,No,Yes,Fiber optic,Yes,No,No internet service,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),117.59,5031.41,No
CUST00120,Female,0,No,Yes,22,No,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),87.07,2797.56,Yes
CUST00121,Female,0,Yes,Yes,46,No,Yes,No,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,81.23,2937.7,No
CUST00122,Female,0,No,No,29,No,No,DSL,No internet service,No,No internet service,No internet service,Yes,No,Two year,No,Credit card (automatic),96.17,6287.11,No
CUST00123,Female,0,Yes,No,32,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,No,No internet service,One year,No,Electronic check,67.77,560.87,Yes
CUST00124,Male,0,Yes,No,17,No,No phone service,No,No,No internet service,No,Yes,Yes,No,One year,No,Credit card (automatic),67.84,2934.81,Yes
CUST00125,Female,0,Yes,Yes,59,No,No,No,No,Yes,No internet service,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),114.34,2143.17,No
CUST00126,Male,0,Yes,Yes,48,No,No,Fiber optic,No,No,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),112.22,2131.84,No
CUST00127,Male,0,Yes,Yes,0,No,No phone service,DSL,Yes,No internet service,No,Yes,No internet service,No internet service,Two year,No,Electronic check,39.93,7765.85,No
CUST00128,Female,0,Yes,No,69,No,No phone service,No,No internet service,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),67.92,8457.0,Yes
CUST00129,Male,0,No,No,38,No,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),108.56,521.91,No
CUST00130,Female,0,No,Yes,59,No,Yes,DSL,No,No internet service,Yes,No internet service,No,Yes,One year,No,Electronic check,33.87,6969.45,No
CUST00131,Male,0,Yes,Yes,66,No,No phone service,DSL,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,No,Credit card (automatic),28.04,400.4,Yes
CUST00132,Male,0,No,Yes,16,No,No phone service,No,No,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,118.47,6176.95,Yes
CUST00133,Female,0,Yes,No,36,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,38.13,6873.78,No
CUST00134,Male,0,No,No,33,Yes,No,No,No,Yes,No,No,No,No internet service,One year,No,Bank transfer (automatic),83.21,2663.84,No
CUST00135,Male,0,Yes,No,52,Yes,No phone service,DSL,Yes,Yes,No,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),83.36,7260.38,Yes
CUST00136,Female,0,Yes,Yes,25,No,Yes,Fiber optic,No,Yes,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,110.59,4283.77,No
CUST00137,Female,0,Yes,Yes,26,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,No internet service,Yes,One year,No,Electronic check,34.24,730.94,No
CUST00138,Female,0,Yes,Yes,16,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),84.64,1415.93,No
CUST00139,Female,0,Yes,No,7,No,No,Fiber optic,No internet service,No,No internet service,No internet service,No,No,Month-to-month,No,Mailed check,48.81,3379.5,No
CUST00140,Male,0,No,Yes,24,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),45.36,6915.29,Yes
CUST00141,Male,1,Yes,No,64,No,No,DSL,No internet service,Yes,No internet service,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),36.14,7425.93,No
CUST00142,Female,0,No,No,43,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,Two year,Yes,Mailed check,69.56,5309.41,No
CUST00143,Male,1,Yes,No,59,Yes,No,No,Yes,No,No,No,No internet service,No internet service,Two year,No,Mailed check,24.19,4094.44,No
CUST00144,Female,0,No,Yes,67,No,Yes,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,79.95,4451.02,Yes
CUST00145,Female,0,Yes,Yes,58,Yes,Yes,No,No,No,No internet service,Yes,No,No,One year,No,Credit card (automatic),77.11,659.34,No
CUST00146,Male,0,Yes,Yes,26,No,No phone service,DSL,No internet service,No internet service,Yes,No,No internet service,No,One year,Yes,Bank transfer (automatic),26.03,553.83,Yes
CUST00147,Female,0,Yes,No,32,Yes,Yes,DSL,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),64.71,5606.46,No
CUST00148,Male,0,No,No,55,No,Yes,No,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Two year,Yes,Electronic check,116.75,7634.43,No
CUST00149,Female,0,No,Yes,28,No,No,DSL,Yes,Yes,No,No internet service,Yes,Yes,Two year,Yes,Credit card (automatic),85.72,7658.2,No
CUST00150,Female,0,Yes,Yes,22,Yes,No,DSL,No internet service,No,No internet service,No,No,Yes,Month-to-month,No,Credit card (automatic),24.57,1239.08,No
CUST00151,Female,0,Yes,No,29,Yes,Yes,DSL,Yes,No,No internet service,Yes,No,No,One year,No,Credit card (automatic),70.34,4773.82,No
CUST00152,Female,0,No,No,22,Yes,No,No,No,Yes,No internet service,Yes,Yes,No,One year,Yes,Electronic check,115.92,5666.81,No
CUST00153,Male,1,No,Yes,47,No,Yes,No,Yes,No,No,No,No internet service,No,Two year,No,Credit card (automatic),63.81,1839.8,No
CUST00154,Male,0,No,No,46,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,Yes,Yes,One year,No,Electronic check,102.01,3889.69,No
CUST00155,Female,0,Yes,No,33,No,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,One year,No,Mailed check,73.79,7820.44,No
CUST00156,Female,1,Yes,No,4,Yes,No phone service,No,No internet service,No,Yes,No internet service,No internet service,Yes,Two year,No,Electronic check,68.46,1744.25,Yes
CUST00157,Female,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No,No,No internet service,One year,No,Credit card (automatic),103.68,3399.47,No
CUST00158,Female,0,Yes,No,36,No,No phone service,No,Yes,No,No,No,No,No internet service,One year,Yes,Credit card (automatic),35.83,8379.78,No
CUST00159,Female,0,No,Yes,3,Yes,Yes,No,No,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,86.12,8219.81,No
CUST00160,Male,0,No,No,6,Yes,Yes,No,Yes,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,86.86,3134.62,No
CUST00161,Female,0,Yes,Yes,19,Yes,Yes,DSL,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),60.91,5867.73,No
CUST00162,Male,1,No,Yes,36,Yes,No phone service,DSL,No internet service,No,No internet service,No,No,No,Month-to-month,No,Electronic check,88.21,8126.79,No
CUST00163,Male,0,Yes,No,45,No,No,No,No,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),45.34,8215.93,Yes
CUST00164,Female,0,Yes,No,64,Yes,No phone service,No,No,No internet service,No,Yes,Yes,No internet service,Two year,No,Electronic check,73.25,6880.93,No
CUST00165,Female,0,Yes,Yes,35,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Electronic check,57.5,6365.69,No
CUST00166,Female,0,No,Yes,6,Yes,No phone service,DSL,No,No,No,Yes,No internet service,Yes,Two year,No,Credit card (automatic),72.0,6608.39,Yes
CUST00167,Female,0,Yes,Yes,52,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,No,Two year,Yes,Mailed check,101.14,7607.93,No
CUST00168,Female,0,No,Yes,56,No,No phone service,Fiber optic,No internet service,Yes,No,No,No,No internet service,Two year,Yes,Credit card (automatic),100.8,6201.09,Yes
CUST00169,Male,0,No,No,39,Yes,No,DSL,Yes,No,No,No internet service,No,Yes,Two year,No,Bank transfer (automatic),27.87,8662.24,No
CUST00170,Male,0,No,Yes,33,No,No,Fiber optic,No,No,No,No internet service,Yes,No internet service,Two year,Yes,Electronic check,62.94,5095.69,No
CUST00171,Female,1,Yes,No,66,No,No,No,No internet service,No internet service,Yes,No internet service,Yes,No,One year,No,Mailed check,38.73,811.44,No
CUST00172,Female,0,No,No,4,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),66.56,7255.27,No
CUST00173,Female,0,Yes,Yes,31,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Two year,No,Credit card (automatic),39.87,4308.34,No
